"","X","word","counts","aveScore"
"248",2570,"coming",96,1.45880582524272
"249",1493,"own",94,1.56247664543524
"250",451,"our",93,1.61135456885457
"251",767,"arms",93,1.377
"252",1717,"party",93,1.77307142857143
"253",352,"sky",92,1.60118103448276
"254",640,"sweetheart",92,1.05140186915888
"255",10,"what.s",91,1.91170833333333
"256",146,"dancing",91,2.07738043478261
"257",450,"us",91,1.68316537867079
"258",528,"much",91,1.78310714285714
"259",125,"end",90,1.66951672240803
"260",186,"hot",90,2.2105923566879
"261",303,"boogie",90,2.02082608695652
"262",132,"stand",89,1.49311971830986
"263",157,"paradise",89,1.85710112359551
"264",1537,"waltz",89,1.4899587628866
"265",45,"real",88,1.83744594594595
"266",324,"did",88,1.34606790123457
"267",772,"rag",88,1.53767708333333
"268",1009,"side",88,1.41162735849057
"269",425,"honey",87,1.28123423423423
"270",1276,"loving",87,1.62619318181818
"271",1326,"easy",87,1.39476744186047
"272",305,"help",86,2.06046315789474
"273",416,"after",86,1.35923762376238
"274",690,"e",86,1.59756745165315
"275",693,"won.t",86,1.45152873563218
"276",1139,"he",86,1.63912567132116
"277",43,"magic",85,1.91788764044944
"278",372,"moonlight",85,1.54331395348837
"279",553,"hard",85,1.93241176470588
"280",609,"sorry",85,1.65671428571429
"281",800,"deep",85,2.05945098039216
"282",849,"fool",85,1.55154022988506
"283",44,"friend",84,1.40366853932584
"284",336,"name",84,2.16261386138614
"285",848,"gotta",84,1.49457142857143
"286",223,"best",83,1.70647619047619
"287",91,"u",82,1.56090335065797
"288",190,"fly",82,1.80646
"289",1740,"off",82,1.47123008849558
"290",620,"save",81,1.70157608695652
"291",1925,"loved",81,1.94773913043478
"292",665,"shine",80,1.2951
"293",1154,"broken",80,1.71821176470588
"294",1244,"roses",80,1.45919230769231
"295",2280,"que",80,1.28334653465347
"296",218,"touch",79,2.26502298850575
"297",794,"cold",79,1.42466666666667
"298",1299,"door",79,1.54546428571429
"299",1340,"through",79,1.348
"300",81,"mary",78,1.40151020408163
"301",96,"head",78,1.62335964912281
"302",642,"you.ll",77,1.66487012987013
"303",289,"train",76,1.95423529411765
"304",1024,"myself",76,1.37325
"305",1375,"sugar",76,1.82258666666667
"306",1552,"three",76,1.94425
"307",2316,"maria",76,1.502
"308",2747,"wind",76,1.92610191082803
"309",306,"falling",75,1.71752
"310",757,"play",75,1.69749618320611
"311",1141,"melody",75,1.85244
"312",1319,"till",75,1.37869626168224
"313",1330,"hand",75,1.85809032258065
"314",2823,"must",75,1.76162962962963
"315",446,"kind",74,1.39294505494505
"316",559,"place",74,1.75216666666667
"317",1700,"tomorrow",74,1.04298734177215
"318",160,"because",73,2.21623287671233
"319",430,"waiting",73,1.5922602739726
"320",448,"pretty",73,1.87830555555556
"321",921,"le",73,1.5449090132422
"322",1379,"stars",73,1.81649367088608
"323",1519,"serenade",73,1.25387671232877
"324",88,"ya",72,1.54026600985222
"325",1081,"water",71,1.56127102803738
"326",2295,"feeling",71,2.10834210526316
"327",233,"money",70,1.89169565217391
"328",390,"care",70,1.38939552238806
"329",465,"has",70,1.13475221238938
"330",607,"lucky",70,1.60571641791045
"331",785,"alright",70,1.50301470588235
"332",1026,"loves",70,2.18421794871795
"333",1151,"lonesome",70,1.06125352112676
"334",357,"these",69,2.03408695652174
"335",699,"sunday",69,1.55973529411765
"336",1248,"along",69,1.233
"337",1392,"boys",69,1.60641095890411
"338",808,"someday",68,1.17066176470588
"339",1118,"gal",68,1.25879674796748
"340",1160,"face",68,2.01242857142857
"341",1582,"die",68,1.61330481283422
"342",1603,"gold",68,1.47846153846154
"343",1924,"nobody",68,1.29559223300971
"344",2702,"lights",68,1.88448571428571
"345",433,"king",67,1.47587556561086
"346",467,"his",67,1.77681313131313
"347",579,"shake",67,2.16412676056338
"348",1294,"years",67,1.14978787878788
"349",1694,"yourself",67,1.61591044776119
"350",265,"X1",66,NA
"351",276,"step",66,1.40634408602151
"352",1104,"st",66,1.58427494780793
"353",1510,"daddy",66,1.20045333333333
"354",135,"first",65,1.95696875
"355",193,"johnny",65,1.31137704918033
"356",323,"crying",65,1.58415384615385
"357",550,"rhythm",65,1.70057575757576
"358",1472,"part",65,1.79697787610619
"359",1721,"amor",65,1.01890598290598
"360",2123,"open",65,1.40290909090909
"361",70,"alive",64,1.982078125
"362",148,"dark",64,1.3554875
"363",463,"before",64,1.47534375
"364",474,"under",64,1.75546052631579
"365",740,"summertime",64,1.49884375
"366",929,"ma",64,1.51384816035146
"367",1048,"green",64,1.85684810126582
"368",1082,"bird",64,1.5376
"369",282,"looking",63,1.54991935483871
"370",1037,"wait",63,1.32314379084967
"371",1316,"shame",63,1.41067307692308
"372",1401,"words",63,1.72803174603175
"373",1747,"born",63,2.13688405797101
"374",3347,"god",63,1.56220454545455
"375",1145,"band",62,1.77007792207792
"376",1307,"show",62,1.69514457831325
"377",85,"em",61,1.51308208208208
"378",141,"anything",61,1.37270491803279
"379",331,"yours",61,1.45556692913386
"380",402,"try",61,1.31418055555556
"381",697,"meet",61,1.08743421052632
"382",868,"te",61,1.55685226326021
"383",865,"un",60,1.59760773258155
"384",1434,"america",60,1.98986554621849
"385",1556,"hearts",60,1.52418666666667
"386",1834,"walking",60,1.83138333333333
"387",2355,"ride",60,1.76092792792793
"388",100,"child",59,1.57867768595041
"389",277,"into",59,1.83820338983051
"390",417,"midnight",59,1.45713559322034
"391",499,"enough",59,2.62094736842105
"392",1008,"other",59,1.72540060240964
"393",1033,"nights",59,2.05829032258065
"394",1159,"hands",59,1.80944444444444
"395",1263,"didn.t",59,1.42859322033898
"396",1308,"tu",59,1.50925463535229
"397",2459,"him",59,1.7578
"398",89,"hear",58,1.6171388638413
"399",330,"mountain",58,1.23102898550725
"400",411,"mother",58,1.19095774647887
"401",1211,"he.s",58,1.52571288102262
"402",1589,"thinking",58,1.2423275862069
"403",1915,"who.s",58,1.58328571428571
"404",2709,"forget",58,1.79286764705882
"405",179,"while.",57,1.22884615384615
"406",342,"living",57,1.94477586206897
"407",1174,"land",57,1.09954838709677
"408",1207,"papa",57,1.60498412698413
"409",1220,"sleep",57,1.43293023255814
"410",1356,"tree",57,1.56330288461538
"411",2257,"found",57,1.95105
"412",97,"letter",56,1.41329577464789
"413",112,"many",56,0.921969696969697
"414",198,"move",56,2.02850704225352
"415",453,"should",56,1.58459756097561
"416",460,"thank",56,1.36529166666667
"417",483,"said",56,1.85646428571429
"418",734,"would",56,1.38807594936709
