"word" "instances" "U.S" "Eng" "Eur" "Row"
"121" "don.t" "126" -2.88010817605577e-05 -2.2979278582848e-05 0 -7.95755298575455e-05
"122" "speak" "2" -7.13387801446569e-05 6.72205190549421e-06 2.16026350176858e-05 0
"123" "hips" "1" -1.70602356642143e-05 -5.15702502525991e-05 -5.27600037997139e-05 0
"124" "lie" "7" 0 2.64318787544814e-05 0 0
"125" "da" "13" -1.1621217635049e-05 0 0 0
"126" "club" "3" -1.0966393229479e-05 7.17184332447095e-06 -4.28311797083485e-05 0
"127" "out" "34" -2.28699245576308e-06 0 0 0
"128" "head" "11" -6.72780923346891e-05 -3.39454327762194e-05 1.04349220906351e-05 0
"129" "where" "24" -4.95175201632188e-05 -3.73296866573266e-05 -5.40166348476099e-06 0
"130" "is" "102" -1.13083844479438e-05 0 0 0
"131" "sign" "4" 4.82402972957846e-05 -3.00214582083887e-05 -4.30802205413612e-05 0
"132" "angie" "2" 1.55515779647114e-05 -2.9295285565439e-05 -4.78089062254793e-05 0
"133" "summertime" "6" -3.49562136462634e-05 0 -3.89224095341874e-05 0
"134" "ghost" "2" -3.32982502435172e-05 2.28735505919158e-05 -2.48998295074195e-05 0
"135" "riders" "2" 6.79182843378911e-05 8.98446979090608e-06 -1.17828329006965e-05 0
"136" "sky" "7" -6.58965142086233e-05 9.13651613395467e-06 -2.24390856720118e-05 0
"137" "poker" "1" 5.97138868817578e-05 0.000116971724133651 0.000160065899593865 -2.798807258261e-05
"138" "face" "8" 3.59338684476336e-05 -4.77856140337827e-05 -4.83239089034143e-05 0
"139" "n" "14" -2.26761308786428e-05 0 0 -2.60598819461408e-05
"140" "roll" "15" -5.98319055072483e-05 -4.50067060766757e-05 -2.82191405108454e-05 8.56263275805558e-05
"141" "kung" "1" 4.17151390619403e-05 0.000179730904868475 0.000117060807401232 -2.31163144394958e-05
"142" "fu" "2" -5.19466312453062e-05 -3.36637231578673e-06 0 0
"143" "fighting" "2" -2.04917006479333e-05 -1.43271839867832e-05 -2.32524418922395e-05 0
"144" "sexyback" "1" 5.80765710332773e-05 7.86696129285482e-05 5.55848432684681e-05 0.000124841272197073
"145" "hung" "1" -2.72485889140209e-05 -3.52943334751226e-05 -2.07079435615675e-05 0
"146" "up" "75" -2.01307019166128e-05 -3.55992371725931e-05 -3.73542163045154e-05 -2.85088175218345e-05
"147" "i.m" "71" -2.36920071174163e-05 -1.89029438638483e-05 0 -6.54594863981467e-05
"148" "believer" "3" -2.41790712770515e-05 -4.51735269232601e-05 -4.31000089103801e-05 1.30477499861314e-05
"149" "found" "7" -2.12586876202021e-05 -4.3534849852155e-05 -3.74276013603597e-05 -2.53445479208243e-05
"150" "jailhouse" "1" 0.000115114637238369 5.18410319927596e-05 -2.56978483719976e-06 -6.54279161442718e-05
"151" "livin" "4" -5.62997179047897e-05 -3.01145302363744e-05 2.61043636244325e-05 0
"152" "la" "36" -5.83941274934594e-05 -4.44114705118451e-05 -1.69652062571924e-05 5.86090589029829e-05
"153" "vida" "3" -5.06290305959339e-05 -3.49918100604714e-05 0.000105025987610199 -2.78765423645053e-05
"154" "loca" "1" 5.68846407053425e-05 7.84678161886974e-05 4.33985321271406e-05 0.000190935119845205
"155" "twist" "7" 5.23084490082096e-06 -2.28050913598834e-05 0 0
"156" "swear" "2" -3.38863895676569e-05 3.39154640156087e-05 -2.51039253015325e-05 0
"157" "whenever" "3" -1.87666804628322e-05 -1.11107015362122e-05 -3.06665919082177e-05 0
"158" "wherever" "2" -2.13982510778306e-05 -5.63749845520357e-06 6.39231178406907e-06 1.739128604235e-05
"159" "low" "6" -2.21353378100035e-05 0 -4.216945292215e-05 0
"160" "strangers" "1" 0.00014243658468577 7.99782545688121e-05 7.00259427224811e-05 -2.21890043984474e-05
"161" "night" "58" -1.24137135448779e-05 -1.10126664865023e-05 -2.65658300958847e-05 0
"162" "end" "9" -5.49000163868174e-05 -2.37214024581325e-05 -2.53686969620567e-05 -2.45535660395446e-05
"163" "road" "9" -3.67969254283947e-06 0 0 0
"164" "streets" "2" -5.55218823949645e-07 3.54515529429396e-05 -6.91773479500373e-06 0
"165" "philadelphia" "3" 4.05854002898966e-05 2.45364758762901e-05 -1.12745751208124e-05 0
"166" "unchained" "4" 0 2.29458581625293e-05 -2.49080198812102e-05 0
"167" "melody" "9" -2.77346526703233e-06 -3.25328594691081e-06 -4.15673654528789e-05 0
"168" "tie" "2" -8.86946933804907e-06 0 0 0
"169" "yellow" "11" -9.14409515796378e-06 -4.08268958107105e-05 0 0
"170" "ribbon" "1" 0.000106313592416997 0.000196366254890981 2.11929942919201e-05 -2.18381557983556e-05
"171" "round" "10" -1.52596058748215e-05 0 0 9.74979399201767e-06
"172" "old" "13" -2.71216327482834e-05 -4.35571294944231e-05 0 9.07792104637511e-06
"173" "oak" "2" 0 -4.25273984126798e-05 6.7655665412074e-05 0
"174" "tree" "5" -1.96779224938804e-05 -1.37582146494961e-05 -2.23290276005029e-05 0
"175" "mood" "4" -5.02777873986274e-05 -4.28088122974864e-05 -3.65424786285644e-05 8.03547400467812e-05
"176" "mambo" "3" 1.65254373299901e-06 -4.28033536144034e-05 -3.23495896642793e-05 -2.750306589421e-05
"177" "X5" "3" 0 0 0 0
"178" "little" "60" 2.21159376555027e-05 -3.96673678100327e-05 0 -2.61493304207799e-05
"179" "bit" "11" 5.20294348979717e-05 -1.77857954109726e-05 0 0
"180" "que" "2" -2.47397271395153e-05 -1.735031987416e-05 -2.39999506939014e-05 0
"181" "sera" "3" -6.11589421744523e-05 -4.29922648528174e-05 -6.47471690049776e-06 0
"182" "whatever" "3" 1.24704327791171e-05 -1.78639785793173e-05 -3.65434164384327e-05 0
"183" "mona" "2" -5.41158349958069e-05 -6.8213547154356e-06 -2.37373644775108e-05 0
"184" "lisa" "2" -5.41112558931672e-05 -6.82077751500275e-06 -2.37353559003846e-05 0
"185" "seasons" "3" -8.9535252363449e-06 -4.34570916969626e-05 0 -2.63043781308829e-05
"186" "sun" "17" 7.56445879158333e-06 -2.69953492139713e-05 -4.08070945754818e-05 0
"187" "karma" "4" -2.14193304033813e-05 -4.15020057121207e-05 -2.15002774433701e-05 0
"188" "chameleon" "1" 3.02552642882094e-05 0.000203454820526646 0.00010843042356698 -2.6100097196947e-05
"189" "dilemma" "1" 3.90580581553199e-05 4.53357205009031e-05 0.000103183972787342 3.64995854397694e-05
"190" "miss" "13" -2.97236047753097e-05 -3.40037845658695e-05 -4.15603653359607e-05 -2.72827352233874e-05
"191" "thing" "24" -1.04191106874086e-05 -4.30025996525403e-05 -3.00833644238158e-05 0
"192" "glass" "4" -4.91104787015631e-05 -9.1956611066867e-06 -2.64624297696361e-05 -2.32918027116256e-05
"193" "killing" "2" 0.000129922702922925 0.000106761024916701 -8.39836114728987e-06 -1.62175740679636e-05
"194" "softly" "5" -6.06889036872857e-05 2.91686840082891e-05 0 0
"195" "with" "68" -1.8283691830769e-06 0 0 0
"196" "his" "8" -9.2176636122485e-06 0 0 0
"197" "song" "50" -2.24791562099196e-05 -1.79352566389541e-05 0 -6.21084576276085e-05
"198" "gotta" "10" -3.47782134946748e-05 -3.39802229713628e-05 -1.69882570013321e-05 0
"199" "big" "16" -6.14086283521936e-06 -4.2615582874109e-05 0 0
"200" "girls" "19" -6.00383682619951e-05 -3.14113402778403e-05 1.49303576467886e-05 0
"201" "cry" "22" -4.60560829842169e-05 -1.82908036505275e-05 -3.15765172813135e-05 -2.57281458266108e-05
"202" "boy" "28" 3.84732050448418e-06 -1.92708225507558e-05 -3.97299043252557e-05 0
"203" "mine" "13" 0 0 5.43761775754959e-05 0
"204" "venus" "3" -2.25822714083771e-06 5.10051084386392e-05 4.18291286631581e-05 -2.62913860386989e-05
"205" "hotel" "4" -1.58745703728735e-05 -3.28331474452342e-05 -2.41135292542365e-05 0
"206" "california" "9" -5.57661985261826e-05 -3.37848535557018e-05 5.40914331234013e-05 0
"207" "swinging" "1" 0.000140043121023488 -1.57855936439995e-05 -4.03678008567062e-05 -2.64850828549658e-05
"208" "star" "14" -7.27600729282464e-06 0 0 0
"209" "all" "96" -2.09003788209771e-05 0 0 -2.40191506928224e-05
"210" "need" "15" 4.11149150016697e-05 -3.3519185255323e-05 0 0
"211" "like" "65" 2.40015690014902e-05 -2.99219475034926e-05 -4.01644031174066e-05 0
"212" "starting" "1" 9.57146285895739e-05 0.000114740602159475 5.55430140153061e-05 1.99751048191179e-05
"213" "smooth" "4" -3.10469039729536e-05 -4.01268474391165e-05 2.52449648010638e-05 -1.96024952809917e-05
"214" "she" "17" -5.47998648838769e-05 -3.89036728458702e-05 -2.35773491694536e-05 4.67021748721903e-05
"215" "loves" "9" -6.04109357755319e-06 -9.61608617089761e-06 0 0
"216" "fever" "3" 2.71727452265465e-05 -2.9685004479724e-05 -4.02550543644393e-05 0
"217" "how" "28" -5.23021793597166e-05 -4.06939319563718e-06 -8.65559176210445e-06 0
"218" "remind" "2" -6.77442797447427e-06 -2.85614718526187e-05 -2.03245799111026e-05 -1.73388277293856e-05
"219" "crazy" "14" -3.36503620278365e-05 -2.63721201086499e-05 -2.38279116615838e-05 2.22801629480745e-05
"220" "upside" "2" -2.72782285639438e-05 -4.13787054996425e-05 -3.50370091209952e-05 0.000111682365775701
"221" "down" "44" -3.16145459219389e-05 -3.2325116286358e-05 -5.61168927161447e-06 0
"222" "really" "6" 3.86218311619983e-05 0 0 0
"223" "hurt" "7" -1.88513348005485e-05 -3.11265120171899e-05 -3.08357830010331e-05 0
"224" "prayer" "7" -3.86128792503697e-05 -1.46845438478979e-05 -2.04932552831595e-05 -2.56630509569419e-05
"225" "beautiful" "19" -1.94094733456827e-05 0 -3.97904652621676e-05 0
"226" "when" "47" -3.37779451519992e-05 -4.11688957487281e-05 0 4.21425773066431e-05
"227" "doves" "1" 0.000140876450108755 7.57768960317198e-05 1.48132226203035e-05 -2.53864848234788e-05
"228" "sugar" "7" 7.80021006860101e-06 -3.28270664513872e-05 -3.85126961173419e-05 0
"229" "yesterday" "7" -5.9858549116117e-07 0 -3.97063389406834e-05 -2.17029067406275e-05
"230" "cha" "1" 9.53025272738612e-07 0 0 -2.00893695298602e-05
"231" "apologize" "2" -4.33452254767205e-06 0 0 -2.60534961867079e-05
"232" "music" "22" 4.49912488653888e-06 -3.89147195553768e-05 0 0
"233" "lady" "25" 5.16835284929873e-06 0 -3.33581731627762e-05 -2.53963254279719e-05
"234" "marmalade" "2" 8.34661829704577e-05 1.39247903742933e-05 4.7462762451421e-06 -2.50559753421108e-05
"235" "voulez" "2" 8.34594750878755e-05 1.392367128803e-05 4.74589480366937e-06 -2.50539616817924e-05
"236" "vous" "2" 4.93723225844715e-05 -3.05447330175627e-06 2.22914772293324e-05 0
"237" "coucher" "2" 8.34427100974999e-05 1.39208743591625e-05 4.74494146816584e-06 -2.50489289467311e-05
"238" "aver" "2" 1.58408733770207e-05 1.27989136236599e-05 -3.52190058357146e-05 -2.48430064707021e-05
"239" "moi" "5" 0 0 4.21330954533534e-05 0
"240" "ce" "2" -4.72548345726659e-05 -3.9481549788142e-05 -1.50872256943106e-05 1.96116010724051e-05
"241" "soir" "2" 8.29329379107519e-05 1.38358282891676e-05 4.71595344530091e-06 -2.48958988345745e-05
"242" "ketchup" "1" -4.47452589509371e-05 9.00128464507786e-05 0.000156937364273393 3.04999972031237e-05
"243" "asereje" "1" -4.47434724277817e-05 9.00092525496986e-05 0.000156931098308198 3.04987794439126e-05
"244" "back" "47" -1.49900375741371e-05 -2.31842926194975e-05 -2.73869180644966e-05 0
"245" "party" "12" -4.71287413823211e-05 -1.80600698052098e-05 -3.03113941627106e-05 0
"246" "anthem" "1" 5.42293751465775e-05 6.54369062649395e-05 2.39141633581204e-06 0
"247" "informer" "1" 4.75032880193493e-06 6.03833431177711e-05 0.00012019530713361 0.000128514171156526
"248" "call" "12" -4.0416755578893e-05 -3.05247890629131e-05 1.22929454154114e-05 0
"249" "things" "12" -9.86257942012986e-06 -4.0705638616333e-05 -2.84764774802854e-05 0
"250" "said" "8" 4.71808715128611e-06 -7.13901745600648e-06 0 -2.54594190364005e-05
"251" "le" "1" -5.26251460076112e-05 -4.0023889737206e-05 -1.528914797869e-05 5.28188435127081e-05
"252" "freak" "5" 1.5898436251903e-05 0 -1.9926010970014e-05 0
"253" "theme" "24" 3.14994998187589e-06 -3.12798427856082e-05 -2.943991083121e-05 0
"254" "from" "37" 3.14541238602892e-06 -3.12347832495728e-05 -2.93975017714181e-05 0
"255" "summer" "13" -1.77515423590869e-05 -3.9178124046299e-05 0 -2.46496679534679e-05
"256" "place" "7" -8.93160597986594e-06 -3.89564054771672e-05 0 -2.42481581461939e-05
"257" "good" "42" -2.34192625330995e-05 -1.85384148045344e-05 -3.78577316257791e-05 0
"258" "hello" "9" -2.1521956132198e-05 1.66217364625357e-05 0 0
"259" "goodbye" "16" -5.74645783097369e-07 0 -3.81183315857467e-05 -2.08349250418084e-05
"260" "if." "50" -3.92532447493785e-05 -3.07921075958406e-05 -2.31207717886168e-05 -2.50599893218017e-05
"261" "leave" "13" -4.488659610197e-05 -1.02829808891231e-05 1.15756088219501e-05 0
"262" "barbie" "1" -2.01159465944975e-05 8.50709270854844e-05 0.000132037901186539 1.05474377668002e-05
"263" "day" "36" -5.68804318809486e-07 0 -3.77308461482454e-05 -2.06231311434587e-05
"264" "ebony" "1" 4.19913337350395e-05 7.23032950635079e-05 8.92982909974361e-05 -2.02348381709232e-05
"265" "ivory" "1" 4.19897230820636e-05 7.23005217408481e-05 8.92948658012029e-05 -2.02340620273856e-05
"266" "wanna" "27" -6.90819972377168e-06 0 -3.65441940053631e-05 1.42369942862968e-05
"267" "dance" "25" -4.52837734336714e-05 -3.78347225545175e-05 -1.44579177191538e-05 1.8793575465145e-05
"268" "somebody" "16" -1.92065468449614e-05 0 0 -2.36506865685746e-05
"269" "who" "9" -1.00445666134923e-05 -1.38821889434703e-05 -3.68148631197266e-05 0
"270" "breaking" "2" 2.05467396641902e-05 3.72938920800998e-05 -3.75367323916319e-05 -2.39506469249749e-05
"271" "wants" "8" -5.13650618482999e-05 -3.64652278995323e-05 -2.20995435093538e-05 4.37749272893912e-05
"272" "rivers" "1" -4.88612058892598e-05 0.000157820581918213 0.000154583528944402 -2.38137991907832e-05
"273" "babylon" "1" -4.88593397468816e-05 0.000157814554320843 0.000154577624978892 -2.38128896770074e-05
"274" "black" "22" -8.16003362745478e-06 -3.64332213264255e-05 0 0
"275" "bridge" "3" -1.27656953824442e-06 -4.79592977563212e-06 3.75645076097392e-06 7.78461414517556e-05
"276" "troubled" "1" 0.000183833964923152 0.000107038374690208 6.44817298500225e-06 -1.4089393622733e-05
"277" "water" "6" -2.98602966733381e-05 -2.41446823083036e-05 -3.34404581308368e-05 0
"278" "scrubs" "1" 3.24815229507207e-05 8.43067268804394e-05 3.00445475090512e-05 7.51776308083192e-05
"279" "these" "10" -3.916276150886e-05 -2.76593464483962e-05 -7.29655922168455e-06 0
"280" "boots" "1" 6.40453343182768e-05 0.000149084253904997 3.38062171142827e-05 -2.47972559225072e-05
"281" "made" "10" -1.74112697736971e-05 -3.07901793348962e-05 -3.23080804612295e-05 -2.46575958880069e-05
"282" "walking" "7" -4.45378850809825e-05 -8.33946865193634e-06 -2.39985576847189e-05 -2.11231423501942e-05
"283" "stop" "27" 0 2.30164811003358e-05 -1.75572167262498e-05 0
"284" "loving" "11" -4.51838181386457e-05 0 2.83224423099374e-05 -2.39757921905826e-05
"285" "i.d" "7" -1.72652109054323e-05 -3.05318880783837e-05 -3.20370559047606e-05 -2.44507493686925e-05
"286" "anything" "4" -5.08432835558191e-05 2.44652264064011e-05 -1.4335554244005e-05 0
"287" "but" "8" -3.43625575518825e-05 -8.16357040883626e-06 0 -2.45566512948753e-05
"288" "won.t" "6" 2.08844688149934e-05 -1.96978070034503e-05 0 0
"289" "let.s" "21" -3.21731377523101e-05 -3.70878978404989e-05 7.25487104586185e-06 0
"290" "again" "43" -2.9356704132393e-05 -3.00165271140358e-05 -5.2109146858057e-06 0
"291" "american" "8" -5.38323454716484e-06 -7.20293604574578e-06 -3.56064207594441e-05 0
"292" "pie" "3" 4.13693944511177e-05 -2.67602820738476e-05 0 0
"293" "stand" "11" 0 -2.85842931295728e-06 -2.75169001381571e-06 -2.44560092813717e-05
"294" "by" "31" -2.96107837110753e-05 -3.38255329072249e-05 -2.72092947485264e-05 -2.41516703658385e-05
"295" "so" "34" -1.8614283883062e-05 0 0 -2.29213818272732e-05
"296" "blue" "29" -4.98880982421267e-05 -3.76845614919407e-05 1.17172180504942e-05 -2.30607275368231e-05
"297" "ba" "5" -2.90189372621614e-05 -3.31494440292978e-05 -2.66654481340126e-05 -2.3668938112588e-05
